ImageName,LatitudeDD,LongitudeDD,DepthInMeters,SurveyID,Locality,Presence
DSC-11129,26.4845,-84.7848,447,NF-1708,Long Mound North,0
DSC-11130,26.4845,-84.7848,447,NF-1708,Long Mound North,0
DSC-11131,26.4846,-84.7848,449,NF-1708,Long Mound North,0
DSC-11132,26.4845,-84.7848,447,NF-1708,Long Mound North,0
DSC-11133,26.4845,-84.7848,466,NF-1708,Long Mound North,0
DSC-11134,26.4845,-84.7848,466,NF-1708,Long Mound North,0
DSC-11135,26.4845,-84.7848,466,NF-1708,Long Mound North,0
DSC-11138,26.4845,-84.7848,447,NF-1708,Long Mound North,0
DSC-11139,26.4843,-84.7848,462,NF-1708,Long Mound North,0
DSC-11140,26.4844,-84.7848,466,NF-1708,Long Mound North,0
DSC-11141,26.4843,-84.7848,462,NF-1708,Long Mound North,0
DSC-11142,26.4843,-84.7847,461,NF-1708,Long Mound North,0
DSC-11143,26.4843,-84.7848,462,NF-1708,Long Mound North,0
DSC-11144,26.4843,-84.7847,461,NF-1708,Long Mound North,0
DSC-11145,26.4842,-84.7848,461,NF-1708,Long Mound North,0
DSC-11146,26.4842,-84.7848,461,NF-1708,Long Mound North,0
DSC-11148,26.4842,-84.7848,461,NF-1708,Long Mound North,0
DSC-11149,26.4842,-84.7848,463,NF-1708,Long Mound North,0
DSC-11150,26.4842,-84.7848,463,NF-1708,Long Mound North,0
DSC-11151,26.4841,-84.7848,464,NF-1708,Long Mound North,0
DSC-11152,26.4841,-84.7848,464,NF-1708,Long Mound North,0
DSC-11153,26.4841,-84.7848,464,NF-1708,Long Mound North,0
DSC-11154,26.4842,-84.7847,465,NF-1708,Long Mound North,0
DSC-11155,26.4842,-84.7847,465,NF-1708,Long Mound North,0
DSC-11156,26.4842,-84.7847,465,NF-1708,Long Mound North,0
DSC-11157,26.4843,-84.7847,461,NF-1708,Long Mound North,0
DSC-11158,26.4841,-84.7847,465,NF-1708,Long Mound North,0
DSC-11159,26.4841,-84.7847,465,NF-1708,Long Mound North,0
DSC-11160,26.4841,-84.7847,463,NF-1708,Long Mound North,0
DSC-11161,26.4841,-84.7847,463,NF-1708,Long Mound North,0
DSC-11162,26.4841,-84.7847,463,NF-1708,Long Mound North,0
DSC-11163,26.4840,-84.7847,461,NF-1708,Long Mound North,0
DSC-11165,26.4841,-84.7847,465,NF-1708,Long Mound North,0
DSC-11166,26.4840,-84.7847,461,NF-1708,Long Mound North,0
DSC-11167,26.4840,-84.7847,461,NF-1708,Long Mound North,0
DSC-11168,26.4840,-84.7847,461,NF-1708,Long Mound North,0
DSC-11169,26.4839,-84.7847,463,NF-1708,Long Mound North,0
DSC-11170,26.4839,-84.7847,463,NF-1708,Long Mound North,0
DSC-11171,26.4839,-84.7847,463,NF-1708,Long Mound North,0
DSC-11172,26.4838,-84.7848,463,NF-1708,Long Mound North,0
DSC-11173,26.4838,-84.7848,463,NF-1708,Long Mound North,0
DSC-11174,26.4838,-84.7848,463,NF-1708,Long Mound North,0
DSC-11175,26.4838,-84.7847,463,NF-1708,Long Mound North,0
DSC-11176,26.4838,-84.7847,463,NF-1708,Long Mound North,0
DSC-11179,26.4840,-84.7847,461,NF-1708,Long Mound North,0
DSC-11180,26.4837,-84.7847,452,NF-1708,Long Mound North,0
DSC-11181,26.4838,-84.7847,463,NF-1708,Long Mound North,0
DSC-11182,26.4836,-84.7847,453,NF-1708,Long Mound North,0
DSC-11183,26.4836,-84.7847,453,NF-1708,Long Mound North,0
DSC-11184,26.4836,-84.7847,453,NF-1708,Long Mound North,0
DSC-11185,26.4836,-84.7847,453,NF-1708,Long Mound North,0
DSC-11186,26.4836,-84.7846,453,NF-1708,Long Mound North,0
DSC-11189,26.4836,-84.7846,453,NF-1708,Long Mound North,0
DSC-11190,26.4835,-84.7846,452,NF-1708,Long Mound North,0
DSC-11191,26.4835,-84.7846,452,NF-1708,Long Mound North,0
DSC-11192,26.4835,-84.7846,456,NF-1708,Long Mound North,0
DSC-11193,26.4835,-84.7846,456,NF-1708,Long Mound North,0
DSC-11194,26.4833,-84.7845,455,NF-1708,Long Mound North,0
DSC-11195,26.4833,-84.7845,455,NF-1708,Long Mound North,0
DSC-11196,26.4832,-84.7844,454,NF-1708,Long Mound North,0
DSC-11197,26.4832,-84.7844,454,NF-1708,Long Mound North,0
DSC-11198,26.4831,-84.7844,453,NF-1708,Long Mound North,0
DSC-11200,26.4831,-84.7844,453,NF-1708,Long Mound North,0
DSC-11201,26.4830,-84.7843,454,NF-1708,Long Mound North,0
DSC-11203,26.4831,-84.7842,457,NF-1708,Long Mound North,0
DSC-11204,26.4832,-84.7841,458,NF-1708,Long Mound North,0
DSC-11205,26.4832,-84.7841,458,NF-1708,Long Mound North,0
DSC-11206,26.4831,-84.7839,458,NF-1708,Long Mound North,0
DSC-11207,26.4831,-84.7839,458,NF-1708,Long Mound North,0
DSC-11208,26.4831,-84.7838,459,NF-1708,Long Mound North,0
DSC-11209,26.4836,-84.7847,453,NF-1708,Long Mound North,0
DSC-11210,26.4831,-84.7838,459,NF-1708,Long Mound North,0
DSC-11211,26.4831,-84.7838,460,NF-1708,Long Mound North,0
DSC-11212,26.4831,-84.7838,460,NF-1708,Long Mound North,0
DSC-11213,26.4831,-84.7839,460,NF-1708,Long Mound North,0
DSC-11214,26.4831,-84.7838,460,NF-1708,Long Mound North,0
DSC-11215,26.4831,-84.7839,460,NF-1708,Long Mound North,0
DSC-11216,26.4830,-84.7838,459,NF-1708,Long Mound North,0
DSC-11217,26.4830,-84.7838,459,NF-1708,Long Mound North,0
DSC-11218,26.4831,-84.7838,460,NF-1708,Long Mound North,0
DSC-11219,26.4829,-84.7838,463,NF-1708,Long Mound North,0
DSC-11220,26.4829,-84.7838,463,NF-1708,Long Mound North,0
DSC-11222,26.4829,-84.7838,463,NF-1708,Long Mound North,0
DSC-11223,26.4829,-84.7838,463,NF-1708,Long Mound North,0
DSC-11224,26.4828,-84.7838,460,NF-1708,Long Mound North,0
DSC-11225,26.4829,-84.7838,461,NF-1708,Long Mound North,0
DSC-11226,26.4828,-84.7838,460,NF-1708,Long Mound North,0
DSC-11227,26.4827,-84.7838,463,NF-1708,Long Mound North,0
DSC-11228,26.4827,-84.7838,458,NF-1708,Long Mound North,0
DSC-11229,26.4827,-84.7838,458,NF-1708,Long Mound North,0
DSC-11230,26.4826,-84.7838,457,NF-1708,Long Mound North,0
DSC-11231,26.4826,-84.7838,457,NF-1708,Long Mound North,0
DSC-11232,26.4826,-84.7838,458,NF-1708,Long Mound North,0
DSC-11233,26.4826,-84.7838,458,NF-1708,Long Mound North,0
DSC-11234,26.4825,-84.7838,455,NF-1708,Long Mound North,0
DSC-11235,26.4825,-84.7838,455,NF-1708,Long Mound North,0
DSC-11236,26.4825,-84.7838,460,NF-1708,Long Mound North,0
DSC-11237,26.4825,-84.7838,460,NF-1708,Long Mound North,0
DSC-11238,26.4825,-84.7838,458,NF-1708,Long Mound North,0
DSC-11239,26.4825,-84.7838,458,NF-1708,Long Mound North,0
DSC-11240,26.4824,-84.7838,458,NF-1708,Long Mound North,0
DSC-11241,26.4824,-84.7838,458,NF-1708,Long Mound North,0
DSC-11242,26.4824,-84.7838,453,NF-1708,Long Mound North,0
DSC-11243,26.4827,-84.7838,463,NF-1708,Long Mound North,0
DSC-11245,26.4824,-84.7838,453,NF-1708,Long Mound North,0
DSC-11249,26.4823,-84.7838,455,NF-1708,Long Mound North,0
DSC-11262,26.4822,-84.7838,453,NF-1708,Long Mound North,0
DSC-11264,26.4823,-84.7838,449,NF-1708,Long Mound North,0
DSC-11265,26.4822,-84.7839,414,NF-1708,Long Mound North,0
DSC-11266,26.4822,-84.7839,427,NF-1708,Long Mound North,0
DSC-11267,26.4822,-84.7839,408,NF-1708,Long Mound North,0
DSC-11269,26.4821,-84.7840,404,NF-1708,Long Mound North,0
DSC-11270,26.4821,-84.7840,402,NF-1708,Long Mound North,0
DSC-11271,26.4821,-84.7840,402,NF-1708,Long Mound North,0
DSC-11272,26.4820,-84.7839,402,NF-1708,Long Mound North,0
DSC-11273,26.4820,-84.7839,402,NF-1708,Long Mound North,0
DSC-11274,26.4820,-84.7839,410,NF-1708,Long Mound North,0
DSC-11275,26.4820,-84.7839,410,NF-1708,Long Mound North,0
DSC-11276,26.4819,-84.7839,415,NF-1708,Long Mound North,0
DSC-11277,26.4819,-84.7839,415,NF-1708,Long Mound North,0
DSC-11278,26.4819,-84.7839,417,NF-1708,Long Mound North,0
DSC-11279,26.4822,-84.7839,408,NF-1708,Long Mound North,0
DSC-11280,26.4819,-84.7839,417,NF-1708,Long Mound North,0
DSC-11281,26.4819,-84.7839,418,NF-1708,Long Mound North,0
DSC-11282,26.4819,-84.7840,416,NF-1708,Long Mound North,0
DSC-11283,26.4819,-84.7840,416,NF-1708,Long Mound North,0
DSC-11284,26.4818,-84.7839,415,NF-1708,Long Mound North,0
DSC-11285,26.4818,-84.7839,415,NF-1708,Long Mound North,0
DSC-11286,26.4818,-84.7839,414,NF-1708,Long Mound North,0
DSC-11287,26.4818,-84.7839,414,NF-1708,Long Mound North,0
DSC-11289,26.4817,-84.7839,415,NF-1708,Long Mound North,0
DSC-11290,26.4817,-84.7839,412,NF-1708,Long Mound North,0
DSC-11291,26.4817,-84.7839,412,NF-1708,Long Mound North,0
DSC-11292,26.4816,-84.7839,413,NF-1708,Long Mound North,0
DSC-11293,26.4816,-84.7839,413,NF-1708,Long Mound North,0
DSC-11294,26.4816,-84.7840,415,NF-1708,Long Mound North,0
DSC-11296,26.4816,-84.7840,415,NF-1708,Long Mound North,0
DSC-11297,26.4816,-84.7840,418,NF-1708,Long Mound North,0
DSC-11298,26.4816,-84.7840,420,NF-1708,Long Mound North,0
DSC-11299,26.4816,-84.7840,420,NF-1708,Long Mound North,0
DSC-11300,26.4816,-84.7839,422,NF-1708,Long Mound North,0
DSC-11301,26.4816,-84.7839,422,NF-1708,Long Mound North,0
DSC-11302,26.4815,-84.7839,421,NF-1708,Long Mound North,0
DSC-11303,26.4815,-84.7839,421,NF-1708,Long Mound North,0
DSC-11305,26.4815,-84.7840,418,NF-1708,Long Mound North,0
DSC-11306,26.4814,-84.7840,416,NF-1708,Long Mound North,0
DSC-11307,26.4814,-84.7840,416,NF-1708,Long Mound North,0
DSC-11308,26.4814,-84.7840,419,NF-1708,Long Mound North,0
DSC-11309,26.4814,-84.7840,419,NF-1708,Long Mound North,0
DSC-11310,26.4814,-84.7839,419,NF-1708,Long Mound North,0
DSC-11311,26.4814,-84.7839,419,NF-1708,Long Mound North,0
DSC-11312,26.4813,-84.7839,418,NF-1708,Long Mound North,0
DSC-11313,26.4819,-84.7839,418,NF-1708,Long Mound North,0
DSC-11315,26.4813,-84.7839,418,NF-1708,Long Mound North,0
DSC-11316,26.4812,-84.7839,414,NF-1708,Long Mound North,0
DSC-11317,26.4812,-84.7839,415,NF-1708,Long Mound North,0
DSC-11318,26.4812,-84.7839,414,NF-1708,Long Mound North,0
DSC-11319,26.4812,-84.7840,415,NF-1708,Long Mound North,0
DSC-11320,26.4811,-84.7839,417,NF-1708,Long Mound North,0
DSC-11321,26.4811,-84.7839,417,NF-1708,Long Mound North,0
DSC-11322,26.4811,-84.7838,419,NF-1708,Long Mound North,0
DSC-11323,26.4812,-84.7840,415,NF-1708,Long Mound North,0
DSC-11324,26.4812,-84.7837,418,NF-1708,Long Mound North,0
DSC-11325,26.4812,-84.7837,418,NF-1708,Long Mound North,0
DSC-11326,26.4812,-84.7836,416,NF-1708,Long Mound North,0
DSC-11327,26.4812,-84.7836,416,NF-1708,Long Mound North,0
DSC-11328,26.4811,-84.7838,419,NF-1708,Long Mound North,0
DSC-11329,26.4812,-84.7835,414,NF-1708,Long Mound North,0
DSC-11330,26.4812,-84.7835,413,NF-1708,Long Mound North,0
DSC-11331,26.4812,-84.7835,413,NF-1708,Long Mound North,0
DSC-11332,26.4812,-84.7835,414,NF-1708,Long Mound North,0
DSC-11333,26.4812,-84.7835,414,NF-1708,Long Mound North,0
DSC-11334,26.4812,-84.7835,414,NF-1708,Long Mound North,0
DSC-11335,26.4812,-84.7835,414,NF-1708,Long Mound North,0
DSC-11336,26.4812,-84.7835,414,NF-1708,Long Mound North,0
DSC-11337,26.4812,-84.7835,414,NF-1708,Long Mound North,0
DSC-11338,26.4812,-84.7835,415,NF-1708,Long Mound North,0
DSC-11339,26.4812,-84.7835,414,NF-1708,Long Mound North,0
DSC-11341,26.4812,-84.7835,415,NF-1708,Long Mound North,0
DSC-11342,26.4812,-84.7835,414,NF-1708,Long Mound North,0
DSC-11343,26.4812,-84.7835,414,NF-1708,Long Mound North,0
DSC-11344,26.4812,-84.7835,417,NF-1708,Long Mound North,0
DSC-11345,26.4812,-84.7835,417,NF-1708,Long Mound North,0
DSC-11346,26.4812,-84.7835,418,NF-1708,Long Mound North,0
DSC-11347,26.4812,-84.7835,418,NF-1708,Long Mound North,0
DSC-11348,26.4812,-84.7835,417,NF-1708,Long Mound North,0
DSC-11349,26.4812,-84.7835,417,NF-1708,Long Mound North,0
DSC-11350,26.4812,-84.7835,417,NF-1708,Long Mound North,0
DSC-11352,26.4812,-84.7835,415,NF-1708,Long Mound North,0
DSC-11353,26.4812,-84.7835,417,NF-1708,Long Mound North,0
DSC-11354,26.4001,-84.7656,405,NF-1708,Long Mound South,0
DSC-11355,26.4001,-84.7656,405,NF-1708,Long Mound South,0
DSC-11356,26.4002,-84.7656,407,NF-1708,Long Mound South,0
DSC-11357,26.4002,-84.7656,407,NF-1708,Long Mound South,0
DSC-11358,26.4004,-84.7656,409,NF-1708,Long Mound South,0
DSC-11359,26.4004,-84.7656,409,NF-1708,Long Mound South,0
DSC-11360,26.4005,-84.7656,409,NF-1708,Long Mound South,0
DSC-11361,26.4000,-84.7656,403,NF-1708,Long Mound South,0
DSC-11362,26.4005,-84.7656,409,NF-1708,Long Mound South,0
DSC-11363,26.4005,-84.7656,415,NF-1708,Long Mound South,0
DSC-11364,26.4006,-84.7655,418,NF-1708,Long Mound South,0
DSC-11365,26.4006,-84.7655,418,NF-1708,Long Mound South,0
DSC-11366,26.4006,-84.7655,420,NF-1708,Long Mound South,0
DSC-11367,26.4006,-84.7655,420,NF-1708,Long Mound South,0
DSC-11368,26.4006,-84.7655,424,NF-1708,Long Mound South,0
DSC-11369,26.4006,-84.7655,424,NF-1708,Long Mound South,0
DSC-11370,26.4006,-84.7655,426,NF-1708,Long Mound South,0
DSC-11371,26.4006,-84.7655,426,NF-1708,Long Mound South,0
DSC-11372,26.4006,-84.7655,432,NF-1708,Long Mound South,0
DSC-11373,26.4006,-84.7655,432,NF-1708,Long Mound South,0
DSC-11374,26.4006,-84.7655,439,NF-1708,Long Mound South,0
DSC-11375,26.4006,-84.7655,439,NF-1708,Long Mound South,0
DSC-11376,26.4006,-84.7655,439,NF-1708,Long Mound South,0
DSC-11377,26.4006,-84.7655,439,NF-1708,Long Mound South,0
DSC-11378,26.4006,-84.7655,436,NF-1708,Long Mound South,0
DSC-11379,26.4006,-84.7655,436,NF-1708,Long Mound South,0
DSC-11381,26.4006,-84.7655,438,NF-1708,Long Mound South,0
DSC-11382,26.4006,-84.7655,440,NF-1708,Long Mound South,0
DSC-11385,26.4006,-84.7655,440,NF-1708,Long Mound South,0
DSC-11386,26.4006,-84.7655,439,NF-1708,Long Mound South,0
DSC-11387,26.4006,-84.7655,439,NF-1708,Long Mound South,0
DSC-11388,26.4006,-84.7655,414,NF-1708,Long Mound South,0
DSC-11389,26.4006,-84.7655,414,NF-1708,Long Mound South,0
DSC-11390,26.4006,-84.7656,414,NF-1708,Long Mound South,0
DSC-11391,26.4006,-84.7656,414,NF-1708,Long Mound South,0
DSC-11392,26.4006,-84.7655,414,NF-1708,Long Mound South,0
DSC-11393,26.4006,-84.7655,414,NF-1708,Long Mound South,0
DSC-11394,26.4006,-84.7656,414,NF-1708,Long Mound South,0
DSC-11395,26.4006,-84.7656,414,NF-1708,Long Mound South,0
DSC-11396,26.4006,-84.7656,414,NF-1708,Long Mound South,0
DSC-11397,26.4006,-84.7656,414,NF-1708,Long Mound South,0
DSC-11398,26.4006,-84.7656,414,NF-1708,Long Mound South,0
DSC-11399,26.4006,-84.7656,414,NF-1708,Long Mound South,0
DSC-11400,26.4006,-84.7655,414,NF-1708,Long Mound South,0
DSC-11401,26.4006,-84.7655,414,NF-1708,Long Mound South,0
DSC-11402,26.4006,-84.7656,414,NF-1708,Long Mound South,0
DSC-11403,26.4006,-84.7656,414,NF-1708,Long Mound South,0
DSC-11404,26.4006,-84.7656,414,NF-1708,Long Mound South,0
DSC-11405,26.4006,-84.7656,414,NF-1708,Long Mound South,0
DSC-11406,26.4006,-84.7655,414,NF-1708,Long Mound South,0
DSC-11407,26.4006,-84.7655,414,NF-1708,Long Mound South,0
DSC-11408,26.4006,-84.7655,414,NF-1708,Long Mound South,0
DSC-11409,26.4006,-84.7655,414,NF-1708,Long Mound South,0
DSC-11410,26.4006,-84.7655,414,NF-1708,Long Mound South,0
DSC-11411,26.4006,-84.7655,414,NF-1708,Long Mound South,0
DSC-11412,26.4006,-84.7655,413,NF-1708,Long Mound South,0
DSC-11413,26.4006,-84.7655,413,NF-1708,Long Mound South,0
DSC-11414,26.4006,-84.7655,413,NF-1708,Long Mound South,0
DSC-11415,26.4006,-84.7655,413,NF-1708,Long Mound South,0
DSC-11416,26.4006,-84.7655,413,NF-1708,Long Mound South,0
DSC-11417,26.4006,-84.7655,413,NF-1708,Long Mound South,0
DSC-11418,26.4006,-84.7655,413,NF-1708,Long Mound South,0
DSC-11419,26.4006,-84.7655,413,NF-1708,Long Mound South,0
DSC-11420,26.4006,-84.7655,413,NF-1708,Long Mound South,0
DSC-11421,26.4006,-84.7655,413,NF-1708,Long Mound South,0
DSC-11422,26.4006,-84.7655,413,NF-1708,Long Mound South,0
DSC-11423,26.4006,-84.7655,413,NF-1708,Long Mound South,0
DSC-11424,26.4007,-84.7655,413,NF-1708,Long Mound South,0
DSC-11425,26.4007,-84.7655,413,NF-1708,Long Mound South,0
DSC-11426,26.4007,-84.7655,413,NF-1708,Long Mound South,0
DSC-11427,26.4007,-84.7655,413,NF-1708,Long Mound South,0
DSC-11428,26.4007,-84.7655,413,NF-1708,Long Mound South,0
DSC-11429,26.4007,-84.7655,413,NF-1708,Long Mound South,0
DSC-11430,26.4007,-84.7655,413,NF-1708,Long Mound South,0
DSC-11431,26.4007,-84.7655,413,NF-1708,Long Mound South,0
DSC-11432,26.4007,-84.7655,413,NF-1708,Long Mound South,0
DSC-11433,26.4007,-84.7655,413,NF-1708,Long Mound South,0
DSC-11434,26.4007,-84.7656,413,NF-1708,Long Mound South,0
DSC-11435,26.4007,-84.7656,413,NF-1708,Long Mound South,0
DSC-11438,26.4006,-84.7656,413,NF-1708,Long Mound South,0
DSC-11439,26.4006,-84.7656,413,NF-1708,Long Mound South,0
DSC-11440,26.4005,-84.7656,415,NF-1708,Long Mound South,0
DSC-11441,26.4006,-84.7656,413,NF-1708,Long Mound South,0
DSC-11442,26.4005,-84.7657,413,NF-1708,Long Mound South,0
DSC-11443,26.4005,-84.7657,413,NF-1708,Long Mound South,0
DSC-11444,26.4005,-84.7657,413,NF-1708,Long Mound South,0
DSC-11447,26.4005,-84.7657,413,NF-1708,Long Mound South,0
DSC-11452,26.4006,-84.7656,413,NF-1708,Long Mound South,0
DSC-11453,26.4003,-84.7658,413,NF-1708,Long Mound South,0
DSC-11454,26.4002,-84.7659,413,NF-1708,Long Mound South,0
DSC-11455,26.4002,-84.7659,413,NF-1708,Long Mound South,0
DSC-11461,26.4004,-84.7658,413,NF-1708,Long Mound South,0
DSC-11462,26.4002,-84.7659,413,NF-1708,Long Mound South,0
DSC-11463,26.4000,-84.7662,414,NF-1708,Long Mound South,0
DSC-11464,26.4001,-84.7663,414,NF-1708,Long Mound South,0
DSC-11465,26.4001,-84.7663,414,NF-1708,Long Mound South,0
DSC-11468,26.4000,-84.7663,413,NF-1708,Long Mound South,0
DSC-11469,26.4000,-84.7663,413,NF-1708,Long Mound South,0
DSC-11470,26.3999,-84.7664,413,NF-1708,Long Mound South,0
DSC-11471,26.3999,-84.7664,413,NF-1708,Long Mound South,0
DSC-11472,26.3998,-84.7665,413,NF-1708,Long Mound South,0
DSC-11473,26.3998,-84.7665,413,NF-1708,Long Mound South,0
DSC-11474,26.3998,-84.7665,414,NF-1708,Long Mound South,0
DSC-11475,26.4000,-84.7662,414,NF-1708,Long Mound South,0
DSC-11477,26.3998,-84.7666,414,NF-1708,Long Mound South,1
DSC-11478,26.3998,-84.7665,414,NF-1708,Long Mound South,0
DSC-11479,26.3997,-84.7666,414,NF-1708,Long Mound South,0
DSC-11480,26.3997,-84.7667,414,NF-1708,Long Mound South,0
DSC-11481,26.3997,-84.7666,414,NF-1708,Long Mound South,0
DSC-11482,26.3996,-84.7667,414,NF-1708,Long Mound South,0
DSC-11483,26.3997,-84.7667,414,NF-1708,Long Mound South,0
DSC-11484,26.3996,-84.7667,414,NF-1708,Long Mound South,0
DSC-11485,26.3996,-84.7667,414,NF-1708,Long Mound South,0
DSC-11488,26.3996,-84.7667,414,NF-1708,Long Mound South,1
DSC-11492,26.3995,-84.7668,413,NF-1708,Long Mound South,1
DSC-11493,26.3995,-84.7668,414,NF-1708,Long Mound South,0
DSC-11495,26.3994,-84.7669,414,NF-1708,Long Mound South,1
DSC-11496,26.3993,-84.7670,414,NF-1708,Long Mound South,1
DSC-11497,26.3993,-84.7670,414,NF-1708,Long Mound South,1
DSC-11500,26.3993,-84.7670,414,NF-1708,Long Mound South,0
DSC-11501,26.3993,-84.7671,414,NF-1708,Long Mound South,1
DSC-11503,26.3994,-84.7670,414,NF-1708,Long Mound South,1
DSC-11504,26.3993,-84.7670,414,NF-1708,Long Mound South,0
DSC-11505,26.3994,-84.7670,413,NF-1708,Long Mound South,0
DSC-11506,26.3994,-84.7670,413,NF-1708,Long Mound South,1
DSC-11507,26.3994,-84.7670,413,NF-1708,Long Mound South,1
DSC-11508,26.3993,-84.7670,412,NF-1708,Long Mound South,1
DSC-11509,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11511,26.3993,-84.7670,412,NF-1708,Long Mound South,1
DSC-11513,26.3994,-84.7670,413,NF-1708,Long Mound South,0
DSC-11514,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11515,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11516,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11517,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11519,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11520,26.3993,-84.7670,411,NF-1708,Long Mound South,1
DSC-11521,26.3993,-84.7670,411,NF-1708,Long Mound South,0
DSC-11522,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11523,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11524,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11525,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11526,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11527,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11528,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11529,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11530,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11531,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11532,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11533,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11534,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11535,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11537,26.3993,-84.7670,412,NF-1708,Long Mound South,0
DSC-11538,26.3994,-84.7670,411,NF-1708,Long Mound South,1
DSC-11539,26.3994,-84.7670,411,NF-1708,Long Mound South,1
DSC-11540,26.3994,-84.7670,411,NF-1708,Long Mound South,0
DSC-11541,26.3994,-84.7670,413,NF-1708,Long Mound South,1
DSC-11544,26.3994,-84.7670,413,NF-1708,Long Mound South,0
DSC-11545,26.3994,-84.7670,413,NF-1708,Long Mound South,0
DSC-11549,26.3994,-84.7670,413,NF-1708,Long Mound South,0
DSC-11550,26.3994,-84.7670,415,NF-1708,Long Mound South,0
DSC-11551,26.3994,-84.7670,415,NF-1708,Long Mound South,0
DSC-11552,26.3994,-84.7670,415,NF-1708,Long Mound South,0
DSC-11556,26.3994,-84.7670,415,NF-1708,Long Mound South,0
DSC-11557,26.3994,-84.7670,417,NF-1708,Long Mound South,0
DSC-11559,26.3994,-84.7670,415,NF-1708,Long Mound South,0
DSC-11560,26.3993,-84.7670,417,NF-1708,Long Mound South,0
DSC-11562,26.3993,-84.7670,417,NF-1708,Long Mound South,0
DSC-11563,26.3993,-84.7670,417,NF-1708,Long Mound South,0
DSC-11564,26.3993,-84.7670,417,NF-1708,Long Mound South,0
DSC-11565,26.3993,-84.7670,417,NF-1708,Long Mound South,0
DSC-11567,26.3993,-84.7668,416,NF-1708,Long Mound South,0
DSC-11570,26.3993,-84.7666,418,NF-1708,Long Mound South,0
DSC-11575,26.3994,-84.7664,417,NF-1708,Long Mound South,0
DSC-11576,26.3992,-84.7661,415,NF-1708,Long Mound South,0
DSC-11578,26.3992,-84.7661,415,NF-1708,Long Mound South,0
DSC-11580,26.3993,-84.7670,417,NF-1708,Long Mound South,0
