SampleID,ImageName,LatitudeDD,LongitudeDD,DepthInMeters,ObservationDate,SurveyID,Locality,ScientificName,Presence,IndividualCount
DSC-14482_3073,DSC-14482,26.3378,-84.7593,503,8/18/2017,NF-1708,North Reed Site (deep),Anthomastus sp.,1,1
DSC-14527_3081,DSC-14527,26.3378,-84.7593,503,8/18/2017,NF-1708,North Reed Site (deep),Anthomastus sp.,1,1
DSC-14859_2614,DSC-14859,26.3378,-84.7593,503,8/18/2017,NF-1708,North Reed Site (deep),Anthomastus sp.,1,1
DSC-14864_2623,DSC-14864,26.3378,-84.7593,503,8/18/2017,NF-1708,North Reed Site (deep),Anthomastus sp.,1,1
DSC-14891_2695,DSC-14891,26.3378,-84.7593,503,8/18/2017,NF-1708,North Reed Site (deep),Anthomastus sp.,1,1
DSC-15167_2446,DSC-15167,26.3378,-84.7593,468,8/18/2017,NF-1708,North Reed Site (deep),Anthomastus sp.,1,1
DSC-15297_2551,DSC-15297,26.2071,-84.7259,497,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-15298_2520,DSC-15298,26.2071,-84.7259,498,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-15312_2525,DSC-15312,26.2069,-84.7260,502,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-15348_2528,DSC-15348,26.2065,-84.7262,512,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-15436_2511,DSC-15436,26.2052,-84.7268,505,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-15446_2436,DSC-15446,26.2052,-84.7269,505,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-15452_2326,DSC-15452,26.2052,-84.7269,505,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-15473_1188,DSC-15473,26.2051,-84.7269,502,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-15498_2357,DSC-15498,26.2048,-84.7280,496,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-15515_2269,DSC-15515,26.2047,-84.7282,496,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-15516_2344,DSC-15516,26.2047,-84.7283,496,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-15535_2281,DSC-15535,26.2046,-84.7283,496,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-15573_2249,DSC-15573,26.2045,-84.7284,496,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-15577_2255,DSC-15577,26.2045,-84.7284,496,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-15578_2234,DSC-15578,26.2045,-84.7284,496,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-15585_2164,DSC-15585,26.2046,-84.7284,496,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-15588_2172,DSC-15588,26.2046,-84.7284,496,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-15604_2195,DSC-15604,26.2046,-84.7284,496,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-15609_2209,DSC-15609,26.2046,-84.7283,496,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-15623_2210,DSC-15623,26.2047,-84.7283,496,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-15635_2032,DSC-15635,26.2047,-84.7282,496,8/18/2017,NF-1708,Many Mounds,Anthomastus sp.,1,1
DSC-16239_1674,DSC-16239,25.6715,-84.5879,570,8/20/2017,NF-1708,Okeanos Ridge,Anthomastus sp.,1,1
DSC-16365_2017,DSC-16365,25.6701,-84.5844,522,8/20/2017,NF-1708,Okeanos Ridge,Anthomastus sp.,1,1
DSC-16392_1989,DSC-16392,25.6700,-84.5841,516,8/20/2017,NF-1708,Okeanos Ridge,Anthomastus sp.,1,1
DSC-16411_1901,DSC-16411,25.6698,-84.5840,515,8/20/2017,NF-1708,Okeanos Ridge,Anthomastus sp.,1,1
DSC-16442_2187,DSC-16442,25.6691,-84.5841,515,8/20/2017,NF-1708,Okeanos Ridge,Anthomastus sp.,1,1
DSC-16451_2252,DSC-16451,25.6688,-84.5839,514,8/20/2017,NF-1708,Okeanos Ridge,Anthomastus sp.,1,1
DSC-16458_2359,DSC-16458,25.6685,-84.5836,513,8/20/2017,NF-1708,Okeanos Ridge,Anthomastus sp.,1,1
DSC-16482_1635,DSC-16482,25.6680,-84.5835,512,8/20/2017,NF-1708,Okeanos Ridge,Anthomastus sp.,1,1
DSC-16718_2224,DSC-16718,26.7712,-84.8654,524,8/22/2017,NF-1708,North Wall,Anthomastus sp.,1,1
DSC-16758_2218,DSC-16758,26.7724,-84.8667,542,8/22/2017,NF-1708,North Wall,Anthomastus sp.,1,1
DSC-16773_2419,DSC-16773,26.7726,-84.8669,538,8/22/2017,NF-1708,North Wall,Anthomastus sp.,1,1
DSC-16933_1321,DSC-16933,26.7792,-84.8692,550,8/22/2017,NF-1708,North Wall,Anthomastus sp.,1,1
DSC-16944_1452,DSC-16944,26.7795,-84.8697,559,8/22/2017,NF-1708,North Wall,Anthomastus sp.,1,1
DSC-12470_430,DSC-12470,26.3204,-84.7418,419,8/15/2017,NF-1708,North Reed Site,Anthomastus sp.,1,2
DSC-13152_1264,DSC-13152,26.3187,-84.7559,522,8/15/2017,NF-1708,North Reed Site (deep),Anthomastus sp.,1,2
DSC-13896_2867,DSC-13896,26.1841,-84.7034,435,8/16/2017,NF-1708,Many Mounds (deep),Anthomastus sp.,1,2
DSC-13916_403,DSC-13916,26.1838,-84.7035,434,8/16/2017,NF-1708,Many Mounds (deep),Anthomastus sp.,1,2
DSC-14402_3156,DSC-14402,26.3378,-84.7593,503,8/18/2017,NF-1708,North Reed Site (deep),Anthomastus sp.,1,2
DSC-16851_1551,DSC-16851,26.7752,-84.8672,548,8/22/2017,NF-1708,North Wall,Anthomastus sp.,1,2
DSC-17051_2588,DSC-17051,26.7818,-84.8745,626,8/22/2017,NF-1708,North Wall,Anthomastus sp.,1,2
DSC-14170_2933,DSC-14170,26.3367,-84.7602,515,8/17/2017,NF-1708,North Reed Site (deep),Anthomastus sp.,1,3
DSC-14177_3170,DSC-14177,26.3367,-84.7603,515,8/17/2017,NF-1708,North Reed Site (deep),Anthomastus sp.,1,4
DSC-16708_1663,DSC-16708,26.7707,-84.8650,520,8/22/2017,NF-1708,North Wall,Anthomastus sp.,1,4
DSC-11807_1501,DSC-11807,26.3935,-84.7602,427,8/14/2017,NF-1708,Long Mound South,Antipatharia,1,1
DSC-12278_320,DSC-12278,26.3887,-84.7593,419,8/14/2017,NF-1708,Long Mound South,Antipatharia,1,1
DSC-14782_2653,DSC-14782,26.3378,-84.7593,503,8/18/2017,NF-1708,North Reed Site (deep),Antipatharia,1,1
DSC-16696_2231,DSC-16696,26.7702,-84.8651,521,8/22/2017,NF-1708,North Wall,Antipatharia,1,1
DSC-17651_907,DSC-17651,25.6530,-84.5585,450,8/23/2017,NF-1708,Okeanos Ridge,Antipatharia,1,1
DSC-17653_901,DSC-17653,25.6530,-84.5584,450,8/23/2017,NF-1708,Okeanos Ridge,Antipatharia,1,1
DSC-17913_2708,DSC-17913,25.6495,-84.5549,450,8/23/2017,NF-1708,Okeanos Ridge,Antipatharia,1,1
DSC-17742_2732,DSC-17742,25.6523,-84.5564,450,8/23/2017,NF-1708,Okeanos Ridge,Antipatharia,1,2
DSC-11492_997,DSC-11492,26.3994,-84.7669,414,8/14/2017,NF-1708,Long Mound South,Aquaumbridae,1,1
DSC-11495_973,DSC-11495,26.3993,-84.7670,414,8/14/2017,NF-1708,Long Mound South,Aquaumbridae,1,1
DSC-11591_1921,DSC-11591,26.3986,-84.7651,413,8/14/2017,NF-1708,Long Mound South,Aquaumbridae,1,1
DSC-11835_1397,DSC-11835,26.3915,-84.7598,428,8/14/2017,NF-1708,Long Mound South,Aquaumbridae,1,1
DSC-11919_1388,DSC-11919,26.3888,-84.7585,427,8/14/2017,NF-1708,Long Mound South,Aquaumbridae,1,1
DSC-12128_701,DSC-12128,26.3907,-84.7589,428,8/14/2017,NF-1708,Long Mound South,Aquaumbridae,1,1
DSC-12387_552,DSC-12387,26.3204,-84.7414,420,8/15/2017,NF-1708,North Reed Site,Aquaumbridae,1,1
DSC-12498_233,DSC-12498,26.3203,-84.7419,416,8/15/2017,NF-1708,North Reed Site,Aquaumbridae,1,1
DSC-12885_742,DSC-12885,26.3186,-84.7423,424,8/15/2017,NF-1708,North Reed Site,Aquaumbridae,1,1
DSC-12891_783,DSC-12891,26.3186,-84.7423,424,8/15/2017,NF-1708,North Reed Site,Aquaumbridae,1,1
DSC-12948_770,DSC-12948,26.3185,-84.7418,418,8/15/2017,NF-1708,North Reed Site,Aquaumbridae,1,1
DSC-13091_940,DSC-13091,26.3216,-84.7557,514,8/15/2017,NF-1708,North Reed Site (deep),Aquaumbridae,1,1
DSC-13217_2900,DSC-13217,26.3167,-84.7571,532,8/15/2017,NF-1708,North Reed Site (deep),Aquaumbridae,1,1
DSC-13905_374,DSC-13905,26.1840,-84.7035,437,8/16/2017,NF-1708,Many Mounds (deep),Aquaumbridae,1,1
DSC-13907_386,DSC-13907,26.1840,-84.7035,436,8/16/2017,NF-1708,Many Mounds (deep),Aquaumbridae,1,1
DSC-14061_2952,DSC-14061,26.1828,-84.7038,435,8/16/2017,NF-1708,Many Mounds (deep),Aquaumbridae,1,1
DSC-14102_2940,DSC-14102,26.1824,-84.7038,438,8/16/2017,NF-1708,Many Mounds (deep),Aquaumbridae,1,1
DSC-14171_2103,DSC-14171,26.3367,-84.7602,515,8/17/2017,NF-1708,North Reed Site (deep),Aquaumbridae,1,1
DSC-14173_2939,DSC-14173,26.3367,-84.7602,515,8/17/2017,NF-1708,North Reed Site (deep),Aquaumbridae,1,1
DSC-14428_3220,DSC-14428,26.3378,-84.7593,503,8/18/2017,NF-1708,North Reed Site (deep),Aquaumbridae,1,1
DSC-15108_2481,DSC-15108,26.3378,-84.7593,504,8/18/2017,NF-1708,North Reed Site (deep),Aquaumbridae,1,1
DSC-15120_2442,DSC-15120,26.3378,-84.7593,493,8/18/2017,NF-1708,North Reed Site (deep),Aquaumbridae,1,1
DSC-15132_2463,DSC-15132,26.3378,-84.7593,481,8/18/2017,NF-1708,North Reed Site (deep),Aquaumbridae,1,1
DSC-15546_2305,DSC-15546,26.2046,-84.7284,496,8/18/2017,NF-1708,Many Mounds,Aquaumbridae,1,1
DSC-15945_1738,DSC-15945,26.2084,-84.7121,432,8/19/2017,NF-1708,Many Mounds,Aquaumbridae,1,1
DSC-16437_2221,DSC-16437,25.6694,-84.5840,512,8/20/2017,NF-1708,Okeanos Ridge,Aquaumbridae,1,1
DSC-16448_2266,DSC-16448,25.6689,-84.5840,515,8/20/2017,NF-1708,Okeanos Ridge,Aquaumbridae,1,1
DSC-16450_2310,DSC-16450,25.6688,-84.5839,515,8/20/2017,NF-1708,Okeanos Ridge,Aquaumbridae,1,1
DSC-16470_2395,DSC-16470,25.6682,-84.5837,514,8/20/2017,NF-1708,Okeanos Ridge,Aquaumbridae,1,1
DSC-17647_873,DSC-17647,25.6530,-84.5587,450,8/23/2017,NF-1708,Okeanos Ridge,Aquaumbridae,1,1
DSC-17845_656,DSC-17845,25.6512,-84.5557,450,8/23/2017,NF-1708,Okeanos Ridge,Aquaumbridae,1,1
DSC-18115_540,DSC-18115,25.6419,-84.5529,450,8/23/2017,NF-1708,Okeanos Ridge,Aquaumbridae,1,1
DSC-18356_2749,DSC-18356,25.6408,-84.5524,450,8/23/2017,NF-1708,Okeanos Ridge,Aquaumbridae,1,1
DSC-11828_1449,DSC-11828,26.3920,-84.7599,433,8/14/2017,NF-1708,Long Mound South,Aquaumbridae,1,2
DSC-14041_230,DSC-14041,26.1828,-84.7038,436,8/16/2017,NF-1708,Many Mounds (deep),Aquaumbridae,1,2
DSC-14170_2934,DSC-14170,26.3367,-84.7602,515,8/17/2017,NF-1708,North Reed Site (deep),Aquaumbridae,1,2
DSC-16451_2251,DSC-16451,25.6688,-84.5839,514,8/20/2017,NF-1708,Okeanos Ridge,Aquaumbridae,1,2
DSC-16482_1632,DSC-16482,25.6680,-84.5835,512,8/20/2017,NF-1708,Okeanos Ridge,Aquaumbridae,1,2
DSC-11806_1489,DSC-11806,26.3935,-84.7602,427,8/14/2017,NF-1708,Long Mound South,Aquaumbridae,1,3
DSC-11827_1447,DSC-11827,26.3920,-84.7599,433,8/14/2017,NF-1708,Long Mound South,Aquaumbridae,1,3
DSC-14177_3166,DSC-14177,26.3367,-84.7603,515,8/17/2017,NF-1708,North Reed Site (deep),Aquaumbridae,1,3
DSC-16415_1905,DSC-16415,25.6698,-84.5841,515,8/20/2017,NF-1708,Okeanos Ridge,Aquaumbridae,1,3
DSC-16447_2262,DSC-16447,25.6689,-84.5840,515,8/20/2017,NF-1708,Okeanos Ridge,Aquaumbridae,1,3
DSC-12408_567,DSC-12408,26.3205,-84.7418,419,8/15/2017,NF-1708,North Reed Site,Bathyalcyon sp.,1,1
DSC-12622_224,DSC-12622,26.3195,-84.7422,422,8/15/2017,NF-1708,North Reed Site,Bathyalcyon sp.,1,1
DSC-12773_847,DSC-12773,26.3189,-84.7424,434,8/15/2017,NF-1708,North Reed Site,Bathyalcyon sp.,1,1
DSC-13905_372,DSC-13905,26.1840,-84.7035,437,8/16/2017,NF-1708,Many Mounds (deep),Bathyalcyon sp.,1,1
DSC-12761_809,DSC-12761,26.3189,-84.7427,435,8/15/2017,NF-1708,North Reed Site,Bathyalcyon sp.,1,2
DSC-13909_390,DSC-13909,26.1840,-84.7035,434,8/16/2017,NF-1708,Many Mounds (deep),Bathyalcyon sp.,1,3
DSC-16036_1829,DSC-16036,26.2076,-84.7109,427,8/19/2017,NF-1708,Many Mounds,Bathyalcyon sp.,1,7
DSC-16033_1824,DSC-16033,26.2075,-84.7109,429,8/19/2017,NF-1708,Many Mounds,Bathyalcyon sp.,1,11
DSC-13975_307,DSC-13975,26.1833,-84.7037,435,8/16/2017,NF-1708,Many Mounds (deep),Bathypathes sp.,1,1
DSC-14153_2926,DSC-14153,26.3366,-84.7601,515,8/17/2017,NF-1708,North Reed Site (deep),Bathypathes sp.,1,1
DSC-14420_3217,DSC-14420,26.3378,-84.7593,503,8/18/2017,NF-1708,North Reed Site (deep),Bathypathes sp.,1,1
DSC-16795_3058,DSC-16795,26.7732,-84.8669,546,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16809_2514,DSC-16809,26.7737,-84.8671,547,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16814_3061,DSC-16814,26.7741,-84.8671,546,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16815_3097,DSC-16815,26.7741,-84.8671,546,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-15108_2483,DSC-15108,26.3378,-84.7593,504,8/18/2017,NF-1708,North Reed Site (deep),Bathypathes sp.,1,1
DSC-15189_2571,DSC-15189,26.3378,-84.7593,447,8/18/2017,NF-1708,North Reed Site (deep),Bathypathes sp.,1,1
DSC-16298_1707,DSC-16298,25.6706,-84.5844,574,8/20/2017,NF-1708,Okeanos Ridge,Bathypathes sp.,1,1
DSC-16356_2011,DSC-16356,25.6704,-84.5843,522,8/20/2017,NF-1708,Okeanos Ridge,Bathypathes sp.,1,1
DSC-16429_2139,DSC-16429,25.6697,-84.5840,513,8/20/2017,NF-1708,Okeanos Ridge,Bathypathes sp.,1,1
DSC-16467_2394,DSC-16467,25.6682,-84.5837,512,8/20/2017,NF-1708,Okeanos Ridge,Bathypathes sp.,1,1
DSC-16684_1619,DSC-16684,26.7695,-84.8651,522,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16695_2423,DSC-16695,26.7701,-84.8651,521,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16709_1647,DSC-16709,26.7708,-84.8650,520,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16713_1649,DSC-16713,26.7710,-84.8651,520,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16714_1656,DSC-16714,26.7710,-84.8652,522,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16718_2225,DSC-16718,26.7712,-84.8654,524,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16765_2412,DSC-16765,26.7726,-84.8668,542,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16770_2416,DSC-16770,26.7726,-84.8669,533,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16773_2418,DSC-16773,26.7726,-84.8669,538,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16821_1520,DSC-16821,26.7740,-84.8671,545,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16831_1517,DSC-16831,26.7744,-84.8672,548,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16837_1529,DSC-16837,26.7747,-84.8672,547,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16838_2377,DSC-16838,26.7747,-84.8672,549,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16839_1511,DSC-16839,26.7747,-84.8673,548,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16843_1509,DSC-16843,26.7749,-84.8673,549,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16851_1550,DSC-16851,26.7752,-84.8672,548,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16855_1547,DSC-16855,26.7753,-84.8673,549,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16870_1474,DSC-16870,26.7761,-84.8675,544,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16919_1544,DSC-16919,26.7787,-84.8686,546,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16920_1541,DSC-16920,26.7787,-84.8687,546,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16924_1538,DSC-16924,26.7789,-84.8689,550,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16926_1554,DSC-16926,26.7789,-84.8690,548,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16928_1500,DSC-16928,26.7790,-84.8690,548,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16929_1481,DSC-16929,26.7791,-84.8690,550,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16936_1495,DSC-16936,26.7792,-84.8693,551,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16938_1348,DSC-16938,26.7793,-84.8694,554,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16941_1444,DSC-16941,26.7793,-84.8696,559,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16945_1433,DSC-16945,26.7795,-84.8698,562,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16952_1562,DSC-16952,26.7797,-84.8700,567,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16954_1565,DSC-16954,26.7798,-84.8701,567,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16958_1567,DSC-16958,26.7799,-84.8702,570,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16968_1573,DSC-16968,26.7802,-84.8706,577,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16972_1592,DSC-16972,26.7803,-84.8708,579,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16973_1581,DSC-16973,26.7803,-84.8708,578,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16976_1555,DSC-16976,26.7804,-84.8709,578,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16977_1585,DSC-16977,26.7804,-84.8710,573,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16982_2365,DSC-16982,26.7806,-84.8712,584,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16983_2367,DSC-16983,26.7806,-84.8712,584,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16985_1119,DSC-16985,26.7806,-84.8713,583,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16988_1112,DSC-16988,26.7808,-84.8715,587,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16990_1109,DSC-16990,26.7808,-84.8716,591,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16993_2369,DSC-16993,26.7809,-84.8718,595,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16996_1113,DSC-16996,26.7809,-84.8720,601,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-16997_2373,DSC-16997,26.7809,-84.8721,601,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-17018_2383,DSC-17018,26.7809,-84.8732,619,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-17028_2589,DSC-17028,26.7815,-84.8733,625,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-17032_2596,DSC-17032,26.7816,-84.8735,629,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-17034_2600,DSC-17034,26.7816,-84.8736,629,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-17038_2595,DSC-17038,26.7817,-84.8737,632,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-17049_2577,DSC-17049,26.7818,-84.8744,627,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-17051_2587,DSC-17051,26.7818,-84.8745,626,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-17056_2572,DSC-17056,26.7818,-84.8745,626,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-17057_2582,DSC-17057,26.7819,-84.8745,626,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-17226_2783,DSC-17226,26.7852,-84.8781,668,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-17320_930,DSC-17320,26.7872,-84.8795,695,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-17323_922,DSC-17323,26.7872,-84.8795,690,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-17532_2715,DSC-17532,26.7889,-84.8807,679,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,1
DSC-17838_2699,DSC-17838,25.6512,-84.5556,450,8/23/2017,NF-1708,Okeanos Ridge,Bathypathes sp.,1,1
DSC-18081_504,DSC-18081,25.6431,-84.5531,450,8/23/2017,NF-1708,Okeanos Ridge,Bathypathes sp.,1,1
DSC-16811_3059,DSC-16811,26.7739,-84.8671,547,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,2
DSC-15442_2539,DSC-15442,26.2052,-84.7268,505,8/18/2017,NF-1708,Many Mounds,Bathypathes sp.,1,2
DSC-16766_2076,DSC-16766,26.7726,-84.8669,542,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,2
DSC-16857_1482,DSC-16857,26.7754,-84.8673,549,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,2
DSC-16918_1461,DSC-16918,26.7786,-84.8686,547,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,2
DSC-16932_1320,DSC-16932,26.7791,-84.8692,550,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,2
DSC-16937_1514,DSC-16937,26.7792,-84.8694,553,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,2
DSC-16944_1454,DSC-16944,26.7795,-84.8697,559,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,2
DSC-16971_2375,DSC-16971,26.7803,-84.8707,578,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,2
DSC-17020_2386,DSC-17020,26.7810,-84.8732,619,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,2
DSC-16737_2390,DSC-16737,26.7718,-84.8659,530,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,3
DSC-16863_1476,DSC-16863,26.7758,-84.8674,546,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,3
DSC-16911_1480,DSC-16911,26.7783,-84.8683,547,8/22/2017,NF-1708,North Wall,Bathypathes sp.,1,3
