SampleID,ImageName,ImageFilePath,LatitudeDD,LongitudeDD,DepthInMeters,ObservationDate,ObservationTime,SurveyID,Locality,Station,Temperature,Salinity,Oxygen,ScientificName,IndividualCount,Size,Habitat,Substrate,VernacularName,AphiaID,Area,Density
DSC-11104_1287,DSC-11104,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01104.jpg,26.4851,-84.7847,451,8/13/2017,5:04:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,1,,",",,NA,125310,2,0
DSC-11104_1288,DSC-11104,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01104.jpg,26.4851,-84.7847,451,8/13/2017,5:04:00 PM,NF-1708,Long Mound North,1,,,,Isididae,2,,",",,bamboo coral,125276,2,0
DSC-11105_1286,DSC-11105,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01105.jpg,26.4851,-84.7848,450,8/13/2017,5:05:00 PM,NF-1708,Long Mound North,1,,,,Isididae,3,,",",,bamboo coral,125276,-1,0
DSC-11105_1285,DSC-11105,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01105.jpg,26.4851,-84.7848,450,8/13/2017,5:05:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,1,,",",,NA,125310,-1,0
DSC-11106_1284,DSC-11106,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01106.jpg,26.4851,-84.7848,450,8/13/2017,5:05:00 PM,NF-1708,Long Mound North,1,,,,Isididae,2,,",",,bamboo coral,125276,2,0
DSC-11107_19,DSC-11107,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01107.jpg,26.4851,-84.7848,450,8/13/2017,5:05:00 PM,NF-1708,Long Mound North,1,,,,Isididae,2,,",",,bamboo coral,125276,2,0
DSC-11107_20,DSC-11107,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01107.jpg,26.4851,-84.7848,450,8/13/2017,5:05:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,3,,",",,NA,125310,2,0
DSC-11108_353,DSC-11108,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01108.jpg,26.485,-84.7848,449,8/13/2017,5:06:00 PM,NF-1708,Long Mound North,1,,,,Isididae,2,,",",,bamboo coral,125276,-1,0
DSC-11108_352,DSC-11108,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01108.jpg,26.485,-84.7848,449,8/13/2017,5:06:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,2,,",",,NA,125310,-1,0
DSC-11111_350,DSC-11111,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01111.jpg,26.4849,-84.7848,448,8/13/2017,5:07:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,1,,",",,NA,125310,-1,0
DSC-11113_349,DSC-11113,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01113.jpg,26.4849,-84.7848,448,8/13/2017,5:07:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,1,,",",,NA,125310,-1,0
DSC-11115_1292,DSC-11115,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01115.jpg,26.4848,-84.7848,454,8/13/2017,5:08:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,1,,",",,NA,125310,-1,0
DSC-11115_1291,DSC-11115,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01115.jpg,26.4848,-84.7848,454,8/13/2017,5:08:00 PM,NF-1708,Long Mound North,1,,,,Porifera,1,,",",,NA,558,-1,0
DSC-11118_1300,DSC-11118,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01118.jpg,26.4848,-84.7848,453,8/13/2017,5:09:00 PM,NF-1708,Long Mound North,1,,,,Isididae,1,,",",,bamboo coral,125276,-1,0
DSC-11120_1301,DSC-11120,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01120.jpg,26.4847,-84.7848,452,8/13/2017,5:10:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,2,,",",,NA,125310,-1,0
DSC-11121_1302,DSC-11121,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01121.jpg,26.4847,-84.7848,452,8/13/2017,5:10:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,2,,",",,NA,125310,-1,0
DSC-11122_1303,DSC-11122,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01122.jpg,26.4847,-84.7848,452,8/13/2017,5:10:00 PM,NF-1708,Long Mound North,1,,,,Stylasteridae,1,,",",,NA,,-1,0
DSC-11122_1304,DSC-11122,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01122.jpg,26.4847,-84.7848,452,8/13/2017,5:10:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,1,,",",,NA,125310,-1,0
DSC-11125_1305,DSC-11125,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01125.jpg,26.4846,-84.7848,449,8/13/2017,5:11:00 PM,NF-1708,Long Mound North,1,,,,Isididae,4,,",",,bamboo coral,125276,-1,0
DSC-11126_1306,DSC-11126,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01126.jpg,26.4845,-84.7848,447,8/13/2017,5:12:00 PM,NF-1708,Long Mound North,1,,,,Isididae,3,,",",,bamboo coral,125276,-1,0
DSC-11127_1308,DSC-11127,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01127.jpg,26.4845,-84.7848,447,8/13/2017,5:12:00 PM,NF-1708,Long Mound North,1,,,,Stylasteridae,2,,",",,NA,,-1,0
DSC-11127_1309,DSC-11127,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01127.jpg,26.4845,-84.7848,447,8/13/2017,5:12:00 PM,NF-1708,Long Mound North,1,,,,Isididae,1,,",",,bamboo coral,125276,-1,0
DSC-11128_1981,DSC-11128,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01128.jpg,26.4845,-84.7848,447,8/13/2017,5:12:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,2,,",",,NA,125310,-1,0
DSC-11128_1982,DSC-11128,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01128.jpg,26.4845,-84.7848,447,8/13/2017,5:12:00 PM,NF-1708,Long Mound North,1,,,,Isididae,2,,",",,bamboo coral,125276,-1,0
DSC-11129_1800,DSC-11129,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01129.jpg,26.4845,-84.7848,447,8/13/2017,5:13:00 PM,NF-1708,Long Mound North,1,,,,Isididae,4,,",",,bamboo coral,125276,-1,0
DSC-11129_1799,DSC-11129,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01129.jpg,26.4845,-84.7848,447,8/13/2017,5:13:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,7,,",",,NA,125310,-1,0
DSC-11130_1798,DSC-11130,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01130.jpg,26.4845,-84.7848,447,8/13/2017,5:13:00 PM,NF-1708,Long Mound North,1,,,,Isididae,4,,",",,bamboo coral,125276,-1,0
DSC-11130_1797,DSC-11130,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01130.jpg,26.4845,-84.7848,447,8/13/2017,5:13:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,2,,",",,NA,125310,-1,0
DSC-11132_1796,DSC-11132,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01132.jpg,26.4845,-84.7848,466,8/13/2017,5:14:00 PM,NF-1708,Long Mound North,1,,,,Isididae,3,,",",,bamboo coral,125276,-1,0
DSC-11133_1795,DSC-11133,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01133.jpg,26.4845,-84.7848,466,8/13/2017,5:14:00 PM,NF-1708,Long Mound North,1,,,,Isididae,4,,",",,bamboo coral,125276,-1,0
DSC-11134_456,DSC-11134,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01134.jpg,26.4845,-84.7848,466,8/13/2017,5:14:00 PM,NF-1708,Long Mound North,1,,,,Stylasteridae,1,,",",,NA,,-1,0
DSC-11135_346,DSC-11135,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01135.jpg,26.4844,-84.7848,466,8/13/2017,5:15:00 PM,NF-1708,Long Mound North,1,,,,Isididae,2,,",",,bamboo coral,125276,-1,0
DSC-11135_345,DSC-11135,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01135.jpg,26.4844,-84.7848,466,8/13/2017,5:15:00 PM,NF-1708,Long Mound North,1,,,,Porifera,1,,",",,NA,558,-1,0
DSC-11136_347,DSC-11136,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01136.jpg,26.4844,-84.7848,466,8/13/2017,5:15:00 PM,NF-1708,Long Mound North,1,,,,Stylasteridae,1,,",",,NA,,-1,0
DSC-11136_348,DSC-11136,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01136.jpg,26.4844,-84.7848,466,8/13/2017,5:15:00 PM,NF-1708,Long Mound North,1,,,,Isididae,3,,",",,bamboo coral,125276,-1,0
DSC-11140_423,DSC-11140,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01140.jpg,26.4843,-84.7848,462,8/13/2017,5:16:00 PM,NF-1708,Long Mound North,1,,,,Isididae,2,,",",,bamboo coral,125276,-1,0
DSC-11140_422,DSC-11140,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01140.jpg,26.4843,-84.7848,462,8/13/2017,5:16:00 PM,NF-1708,Long Mound North,1,,,,Stylasteridae,1,,",",,NA,,-1,0
DSC-11141_396,DSC-11141,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01141.jpg,26.4843,-84.7847,461,8/13/2017,5:17:00 PM,NF-1708,Long Mound North,1,,,,Isididae,1,,",",,bamboo coral,125276,-1,0
DSC-11141_397,DSC-11141,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01141.jpg,26.4843,-84.7847,461,8/13/2017,5:17:00 PM,NF-1708,Long Mound North,1,,,,Stylasteridae,1,,",",,NA,,-1,0
DSC-11142_418,DSC-11142,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01142.jpg,26.4843,-84.7847,461,8/13/2017,5:17:00 PM,NF-1708,Long Mound North,1,,,,Stylasteridae,2,,",",,NA,,-1,0
DSC-11142_417,DSC-11142,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01142.jpg,26.4843,-84.7847,461,8/13/2017,5:17:00 PM,NF-1708,Long Mound North,1,,,,Isididae,1,,",",,bamboo coral,125276,-1,0
DSC-11144_411,DSC-11144,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01144.jpg,26.4842,-84.7848,461,8/13/2017,5:18:00 PM,NF-1708,Long Mound North,1,,,,Stylasteridae,4,,",",,NA,,-1,0
DSC-11144_410,DSC-11144,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01144.jpg,26.4842,-84.7848,461,8/13/2017,5:18:00 PM,NF-1708,Long Mound North,1,,,,Isididae,5,,",",,bamboo coral,125276,-1,0
DSC-11144_409,DSC-11144,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01144.jpg,26.4842,-84.7848,461,8/13/2017,5:18:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,2,,",",,NA,125310,-1,0
DSC-11145_408,DSC-11145,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01145.jpg,26.4842,-84.7848,461,8/13/2017,5:18:00 PM,NF-1708,Long Mound North,1,,,,Isididae,4,,",",,bamboo coral,125276,-1,0
DSC-11146_406,DSC-11146,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01146.jpg,26.4842,-84.7848,461,8/13/2017,5:18:00 PM,NF-1708,Long Mound North,1,,,,Stylasteridae,3,,",",,NA,,-1,0
DSC-11146_407,DSC-11146,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01146.jpg,26.4842,-84.7848,461,8/13/2017,5:18:00 PM,NF-1708,Long Mound North,1,,,,Isididae,5,,",",,bamboo coral,125276,-1,0
DSC-11147_1218,DSC-11147,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01147.jpg,26.4842,-84.7848,463,8/13/2017,5:19:00 PM,NF-1708,Long Mound North,1,,,,Isididae,8,,",",,bamboo coral,125276,-1,0
DSC-11147_1219,DSC-11147,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01147.jpg,26.4842,-84.7848,463,8/13/2017,5:19:00 PM,NF-1708,Long Mound North,1,,,,Stylasteridae,3,,",",,NA,,-1,0
DSC-11148_1220,DSC-11148,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01148.jpg,26.4842,-84.7848,463,8/13/2017,5:19:00 PM,NF-1708,Long Mound North,1,,,,Porifera,1,,",",,NA,558,-1,0
DSC-11148_1221,DSC-11148,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01148.jpg,26.4842,-84.7848,463,8/13/2017,5:19:00 PM,NF-1708,Long Mound North,1,,,,Isididae,7,,",",,bamboo coral,125276,-1,0
DSC-11148_1222,DSC-11148,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01148.jpg,26.4842,-84.7848,463,8/13/2017,5:19:00 PM,NF-1708,Long Mound North,1,,,,Stylasteridae,1,,",",,NA,,-1,0
DSC-11149_1223,DSC-11149,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01149.jpg,26.4842,-84.7848,463,8/13/2017,5:19:00 PM,NF-1708,Long Mound North,1,,,,Isididae,3,,",",,bamboo coral,125276,-1,0
DSC-11150_1794,DSC-11150,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01150.jpg,26.4841,-84.7848,464,8/13/2017,5:20:00 PM,NF-1708,Long Mound North,1,,,,Isididae,4,,",",,bamboo coral,125276,-1,0
DSC-11151_1793,DSC-11151,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01151.jpg,26.4841,-84.7848,464,8/13/2017,5:20:00 PM,NF-1708,Long Mound North,1,,,,Isididae,5,,",",,bamboo coral,125276,-1,0
DSC-11152_1792,DSC-11152,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01152.jpg,26.4841,-84.7848,464,8/13/2017,5:20:00 PM,NF-1708,Long Mound North,1,,,,Isididae,11,,",",,bamboo coral,125276,-1,0
DSC-11153_1790,DSC-11153,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01153.jpg,26.4842,-84.7847,465,8/13/2017,5:21:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,1,,",",,NA,125310,-1,0
DSC-11153_1791,DSC-11153,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01153.jpg,26.4842,-84.7847,465,8/13/2017,5:21:00 PM,NF-1708,Long Mound North,1,,,,Isididae,3,,",",,bamboo coral,125276,-1,0
DSC-11154_1212,DSC-11154,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01154.jpg,26.4842,-84.7847,465,8/13/2017,5:21:00 PM,NF-1708,Long Mound North,1,,,,Isididae,2,,",",,bamboo coral,125276,-1,0
DSC-11155_1789,DSC-11155,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01155.jpg,26.4842,-84.7847,465,8/13/2017,5:21:00 PM,NF-1708,Long Mound North,1,,,,Isididae,9,,",",,bamboo coral,125276,-1,0
DSC-11155_1788,DSC-11155,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01155.jpg,26.4842,-84.7847,465,8/13/2017,5:21:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,1,,",",,NA,125310,-1,0
DSC-11156_1780,DSC-11156,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01156.jpg,26.4841,-84.7847,465,8/13/2017,5:22:00 PM,NF-1708,Long Mound North,1,,,,Isididae,1,,",",,bamboo coral,125276,-1,0
DSC-11164_1801,DSC-11164,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01164.jpg,26.484,-84.7847,461,8/13/2017,5:24:00 PM,NF-1708,Long Mound North,1,,,,Stylasteridae,1,,",",,NA,,-1,0
DSC-11165_1786,DSC-11165,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01165.jpg,26.484,-84.7847,461,8/13/2017,5:25:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,1,,",",,NA,125310,-1,0
DSC-11178_1912,DSC-11178,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01178.jpg,26.4837,-84.7847,452,8/13/2017,5:29:00 PM,NF-1708,Long Mound North,1,,,,Porifera,2,,",",,NA,558,-1,0
DSC-11178_1913,DSC-11178,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01178.jpg,26.4837,-84.7847,452,8/13/2017,5:29:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,1,,",",,NA,125310,-1,0
DSC-11179_1784,DSC-11179,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01179.jpg,26.4837,-84.7847,452,8/13/2017,5:29:00 PM,NF-1708,Long Mound North,1,,,,Porifera,1,,",",,NA,558,-1,0
DSC-11179_1785,DSC-11179,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01179.jpg,26.4837,-84.7847,452,8/13/2017,5:29:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,1,,",",,NA,125310,-1,0
DSC-11180_1783,DSC-11180,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01180.jpg,26.4836,-84.7847,453,8/13/2017,5:30:00 PM,NF-1708,Long Mound North,1,,,,Isididae,1,,",",,bamboo coral,125276,-1,0
DSC-11182_1782,DSC-11182,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01182.jpg,26.4836,-84.7847,453,8/13/2017,5:30:00 PM,NF-1708,Long Mound North,1,,,,Isididae,1,,",",,bamboo coral,125276,-1,0
DSC-11187_1787,DSC-11187,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01187.jpg,26.4835,-84.7846,453,8/13/2017,5:33:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,1,,",",,NA,125310,-1,0
DSC-11209_1806,DSC-11209,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01209.jpg,26.4831,-84.7838,460,8/13/2017,5:44:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,1,,",",,NA,125310,-1,0
DSC-11209_1807,DSC-11209,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01209.jpg,26.4831,-84.7838,460,8/13/2017,5:44:00 PM,NF-1708,Long Mound North,1,,,,Porifera,1,,",",,NA,558,-1,0
DSC-11212_1805,DSC-11212,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01212.jpg,26.4831,-84.7839,460,8/13/2017,5:45:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,2,,",",,NA,125310,-1,0
DSC-11215_1804,DSC-11215,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01215.jpg,26.483,-84.7838,459,8/13/2017,5:47:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,1,,",",,NA,125310,-1,0
DSC-11216_1803,DSC-11216,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01216.jpg,26.483,-84.7838,459,8/13/2017,5:47:00 PM,NF-1708,Long Mound North,1,,,,Isididae,1,,",",,bamboo coral,125276,-1,0
DSC-11217_1802,DSC-11217,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01217.jpg,26.4829,-84.7838,463,8/13/2017,5:48:00 PM,NF-1708,Long Mound North,1,,,,Isididae,1,,",",,bamboo coral,125276,-1,0
DSC-11219_1768,DSC-11219,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01219.jpg,26.4829,-84.7838,463,8/13/2017,5:49:00 PM,NF-1708,Long Mound North,1,,,,Porifera,1,,",",,NA,558,-1,0
DSC-11219_1769,DSC-11219,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01219.jpg,26.4829,-84.7838,463,8/13/2017,5:49:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,4,,",",,NA,125310,-1,0
DSC-11219_1770,DSC-11219,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01219.jpg,26.4829,-84.7838,463,8/13/2017,5:49:00 PM,NF-1708,Long Mound North,1,,,,Isididae,1,,",",,bamboo coral,125276,-1,0
DSC-11220_1744,DSC-11220,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01220.jpg,26.4829,-84.7838,463,8/13/2017,5:49:00 PM,NF-1708,Long Mound North,1,,,,Muriceides sp.,1,,",",,NA,125310,-1,0
DSC-11220_1742,DSC-11220,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01220.jpg,26.4829,-84.7838,463,8/13/2017,5:49:00 PM,NF-1708,Long Mound North,1,,,,Stylasteridae,1,,",",,NA,,-1,0
DSC-11220_1743,DSC-11220,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01220.jpg,26.4829,-84.7838,463,8/13/2017,5:49:00 PM,NF-1708,Long Mound North,1,,,,Isididae,3,,",",,bamboo coral,125276,-1,0
DSC-11221_1781,DSC-11221,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01221.jpg,26.4829,-84.7838,461,8/13/2017,5:50:00 PM,NF-1708,Long Mound North,1,,,,Isididae,2,,",",,bamboo coral,125276,-1,0
DSC-11222_1754,DSC-11222,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01222.jpg,26.4829,-84.7838,461,8/13/2017,5:50:00 PM,NF-1708,Long Mound North,1,,,,Porifera,2,,",",,NA,558,-1,0
DSC-11225_1753,DSC-11225,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01225.jpg,26.4827,-84.7838,463,8/13/2017,5:52:00 PM,NF-1708,Long Mound North,1,,,,Porifera,1,,",",,NA,558,-1,0
